#hg18.knownGene.name	hg18.knownGene.chrom	hg18.knownGene.strand	hg18.knownGene.txStart	hg18.knownGene.txEnd	hg18.kgXref.geneSymbol
uc001fvk.1	chr1	+	158441750	158451786	PEA15
uc001fvl.1	chr1	+	158441750	158451786	PEA15
uc001fvm.1	chr1	+	158441750	158451786	PEA15
uc001fvn.1	chr1	-	158452128	158498603	WDR42A
uc009wth.1	chr1	-	158452128	158498603	WDR42A
uc001fvp.2	chr1	-	158475636	158498603	WDR42A
uc001fvr.1	chr1	-	158480373	158498603	WDR42A
uc001fvo.1	chr1	-	158452128	158498862	WDR42A
uc001fvq.2	chr1	-	158475636	158498862	WDR42A
uc001fvs.1	chr1	-	158513225	158521555	PEX19
uc001fvt.1	chr1	-	158513225	158521555	PEX19
uc001fvw.1	chr1	+	158553678	158554884	SUMO1P3
uc009wti.1	chr1	-	158525000	158579978	COPA
uc001fvv.2	chr1	-	158525000	158579978	COPA
uc009wtj.1	chr1	-	158541846	158579978	COPA
uc009wtk.1	chr1	+	158579686	158586084	UNQ1874
uc001fvx.1	chr1	+	158579686	158595366	NCSTN
uc001fvy.1	chr1	+	158579686	158595366	NCSTN
uc001fvz.1	chr1	+	158586518	158595366	NCSTN
uc009wtl.1	chr1	+	158607145	158607547	NHLH1
uc001fwa.2	chr1	+	158603484	158609262	NHLH1
uc001fwb.1	chr1	+	158636854	158665088	VANGL2
uc001fwc.1	chr1	+	158636990	158665088	VANGL2
uc001fwd.1	chr1	-	158721443	158759666	SLAMF6
uc001fwe.1	chr1	-	158721443	158759666	SLAMF6
uc009wtm.1	chr1	-	158727054	158759666	KALI
uc001fwf.2	chr1	-	158782410	158815875	CD84
uc001fwg.2	chr1	-	158782410	158815875	CD84
uc001fwh.2	chr1	-	158782410	158815875	CD84
uc009wtn.1	chr1	-	158782410	158815875	CD84
uc001fwi.2	chr1	-	158782410	158815875	CD84
uc001fwj.2	chr1	-	158789320	158815875	CD84
uc001fwk.2	chr1	-	158790162	158815875	CD84
uc009wto.1	chr1	-	158846514	158873943	SLAMF1
uc001fwl.2	chr1	-	158846514	158883705	SLAMF1
uc001fwm.2	chr1	-	158872174	158883705	SLAMF1
uc001fwn.1	chr1	-	158915159	158948209	CD48
uc001fwo.1	chr1	-	158916835	158948209	CD48
uc001fwp.2	chr1	-	158919948	158948209	CD48
uc001fwq.1	chr1	+	158975700	158991225	SLAMF7
uc001fwr.1	chr1	+	158975700	158991225	SLAMF7
uc001fws.1	chr1	+	158975700	158991225	SLAMF7
uc001fwt.1	chr1	+	159032551	159039107	LY9
uc001fwy.1	chr1	+	159036166	159060210	LY9
uc001fwu.1	chr1	+	159032551	159064669	LY9
uc001fwv.1	chr1	+	159032551	159064669	LY9
uc001fww.1	chr1	+	159032551	159064669	LY9
uc001fwx.1	chr1	+	159032551	159064669	LY9
uc001fwz.1	chr1	+	159050833	159064669	LY9
uc001fxa.1	chr1	-	159066573	159099269	CD244
uc009wtp.1	chr1	-	159066573	159099269	CD244
uc009wtq.1	chr1	-	159066573	159099269	CD244
uc009wtr.1	chr1	-	159066573	159099269	CD244
uc001fxc.1	chr1	-	159112953	159121584	ITLN1
uc001fxd.1	chr1	-	159181439	159191213	ITLN2
uc009wts.1	chr1	-	159181439	159191213	ITLN2
uc009wtt.1	chr1	-	159231624	159257757	F11R
uc001fxe.2	chr1	-	159231624	159257757	F11R
uc009wtu.1	chr1	-	159231624	159257757	JAM1
uc001fxf.2	chr1	-	159231624	159275404	F11R
uc009wtv.1	chr1	-	159274044	159275404	LOC100131187
uc009wtw.1	chr1	-	159274044	159275404	KAT
uc001fxh.2	chr1	-	159274044	159275404	KAT
uc001fxi.1	chr1	-	159275664	159282381	USF1
uc001fxj.1	chr1	-	159275664	159282381	USF1
uc001fxk.1	chr1	-	159283355	159306384	ARHGAP30
uc001fxl.1	chr1	-	159283355	159306384	ARHGAP30
uc001fxm.1	chr1	-	159283355	159306384	ARHGAP30
uc009wtx.1	chr1	-	159283355	159306384	FLJ00267
uc001fxn.1	chr1	-	159285402	159306384	FLJ00267
uc001fxp.1	chr1	+	159320250	159323959	CR619492
uc001fxo.1	chr1	-	159308119	159325966	PVRL4
uc001fxq.1	chr1	+	159334777	159336760	KLHDC9
uc001fxr.1	chr1	+	159334777	159336760	KLHDC9
uc001fxs.1	chr1	+	159334777	159336760	KLHDC9
uc001fxu.1	chr1	-	159336969	159354490	PFDN2
uc001fxv.1	chr1	+	159354514	159357481	NIT1
uc001fxx.1	chr1	+	159354526	159357481	NIT1
uc001fxy.1	chr1	+	159354565	159357481	NIT1
uc001fxw.2	chr1	+	159354514	159361857	NIT1
uc009wty.1	chr1	-	159357391	159367261	DEDD
uc001fxz.1	chr1	-	159357391	159368880	DEDD
uc001fya.1	chr1	-	159357391	159369102	DEDD
uc001fyb.1	chr1	-	159357391	159369102	DEDD
uc001fyc.1	chr1	-	159357391	159369102	DEDPRO1
uc001fyd.2	chr1	+	159390157	159395270	UFC1
uc009wtz.1	chr1	+	159395877	159402140	USP21
uc009wua.1	chr1	+	159395877	159402140	USP21
uc009wub.1	chr1	+	159401248	159402140	USP16
uc001fyj.2	chr1	+	159402804	159407634	PPOX
uc001fyn.2	chr1	+	159402804	159407634	PPOX
uc001fyg.2	chr1	+	159402804	159407634	PPOX
uc001fyk.2	chr1	+	159402804	159407634	PPOX
uc001fyl.2	chr1	+	159402804	159407634	PPOX
uc001fyh.2	chr1	+	159402804	159407634	PPOX
uc009wuc.1	chr1	+	159402804	159407634	PPOX
uc001fym.2	chr1	+	159402804	159407634	PPOX
uc001fyo.1	chr1	-	159407724	159410491	B4GALT3
uc001fyp.1	chr1	-	159407724	159411642	B4GALT3
uc001fyq.1	chr1	-	159407724	159413938	B4GALT3
uc001fyr.1	chr1	-	159407724	159413938	B4GALT3
uc001fys.1	chr1	-	159407724	159413938	B4GALT3
uc009wud.1	chr1	-	159410018	159413938	B4GALT3
uc001fyi.2	chr1	+	159402804	159414425	PPOX
uc001fyt.2	chr1	-	159426161	159435469	ADAMTS4
uc001fyu.2	chr1	-	159432392	159435469	ADAMTS4
uc001fyy.1	chr1	+	159439850	159445727	NDUFS2
uc001fyw.1	chr1	+	159438560	159450773	NDUFS2
uc001fyv.1	chr1	+	159435728	159450808	NDUFS2
uc001fyx.1	chr1	+	159438560	159450808	NDUFS2
uc001fyz.1	chr1	+	159451710	159455662	FCER1G
uc001fza.1	chr1	+	159451710	159455662	FCER1G
uc001fzb.1	chr1	-	159458706	159459839	APOA2
uc001fzc.1	chr1	-	159458706	159460042	APOA2
uc001fzd.1	chr1	+	159462456	159467031	TOMM40L
uc009wue.1	chr1	+	159462456	159467031	TOMM40L
uc001fze.1	chr1	+	159462717	159467031	TOMM40L
uc001fzp.1	chr1	-	159466079	159474624	NR1I3
uc001gac.1	chr1	-	159466079	159474624	NR1I3
uc001fzg.1	chr1	-	159466079	159474624	NR1I3
uc001fzj.1	chr1	-	159466079	159474624	NR1I3
uc001fzi.1	chr1	-	159466079	159474624	NR1I3
uc001fzl.1	chr1	-	159466079	159474624	NR1I3
uc001fzk.1	chr1	-	159466079	159474624	NR1I3
uc001fzm.1	chr1	-	159466079	159474624	NR1I3
uc001fzn.1	chr1	-	159466079	159474624	NR1I3
uc009wug.1	chr1	-	159466079	159474624	NR1I3
uc001fzf.1	chr1	-	159466079	159474624	NR1I3
uc001fzo.1	chr1	-	159466079	159474624	NR1I3
uc001fzt.1	chr1	-	159466079	159474624	NR1I3
uc001fzs.1	chr1	-	159466079	159474624	NR1I3
uc001fzr.1	chr1	-	159466079	159474624	NR1I3
uc001fzq.1	chr1	-	159466079	159474624	NR1I3
uc001fzv.1	chr1	-	159466079	159474624	NR1I3
uc001fzu.1	chr1	-	159466079	159474624	NR1I3
uc001fzx.1	chr1	-	159466079	159474624	NR1I3
uc001fzy.1	chr1	-	159466079	159474624	NR1I3
uc001fzw.1	chr1	-	159466079	159474624	NR1I3
uc001fzz.1	chr1	-	159466079	159474624	NR1I3
uc001gab.1	chr1	-	159466079	159474624	NR1I3
uc001fzh.1	chr1	-	159466079	159474624	NR1I3
uc001gaa.1	chr1	-	159466079	159474624	NR1I3
uc009wuf.1	chr1	+	159462456	159479711	TOMM40L
uc001gad.1	chr1	+	159495140	159521864	PCP4L1
uc001gae.2	chr1	-	159541148	159543880	MPZ
uc001gaf.2	chr1	-	159541148	159546386	MPZ
uc001gag.1	chr1	+	159550789	159601159	SDHC
uc001gah.1	chr1	+	159550789	159601159	LOC642502
uc001gai.1	chr1	+	159550789	159601159	SDHC
uc001gaj.1	chr1	+	159550789	159601159	SDHC
uc001gak.1	chr1	+	159550789	159601159	SDHC
uc001gal.1	chr1	-	159601144	159604288	C1orf192
uc001gam.1	chr1	+	159741843	159755984	FCGR2A
uc001gan.1	chr1	+	159741843	159755984	FCGR2A
uc001gao.1	chr1	+	159742747	159760427	FCGR2A
uc001gap.1	chr1	+	159760391	159763288	HSPA6
uc001gaq.1	chr1	+	159760659	159763311	HSPA6
uc001gar.1	chr1	-	159778174	159786442	FCGR3A
uc001gas.1	chr1	-	159778174	159786442	FCGR3A
uc001gat.2	chr1	-	159778174	159787037	FCGR3A
uc009wuh.1	chr1	-	159778174	159787037	FCGR3A
uc009wui.1	chr1	-	159778174	159787037	FCGR3A
uc009wuj.1	chr1	+	159817761	159827812	FCGR2B
uc009wuk.1	chr1	+	159817761	159828656	FCGR2B
uc001gav.1	chr1	+	159817761	159836656	FCGR2C
uc001gaw.1	chr1	+	159817761	159836656	FCGR2C
uc009wul.1	chr1	-	159859611	159867782	FCGR3B
uc009wum.1	chr1	+	159899563	159910487	FCGR2C
uc001gay.1	chr1	+	159899563	159914575	FCGR2B
uc001gaz.1	chr1	+	159899563	159914575	FCGR2B
uc001gba.1	chr1	+	159899563	159914575	FCGR2B
uc001gbb.1	chr1	+	159899563	159914575	FCGR2B
uc009wun.1	chr1	+	159899563	159914575	FCGR2B
uc001gbc.1	chr1	-	159920118	159921666	RPL31_1_108
uc001gbd.1	chr1	+	159943385	159950766	FCRLA
uc001gbe.1	chr1	+	159943385	159950766	FCRLA
uc001gbf.1	chr1	+	159943385	159950766	FCRLA
uc001gbg.1	chr1	+	159943385	159950766	FCRLA
uc009wuo.1	chr1	+	159943385	159950766	FCRLA
uc009wup.1	chr1	+	159943385	159950766	FCRLA
uc009wuq.1	chr1	+	159943385	159950766	FCRLA
uc009wur.1	chr1	+	159946702	159950766	FCRLA
uc001gbh.1	chr1	+	159957957	159964557	FCRLB
uc009wus.1	chr1	+	159958670	159964557	FCRLB
uc001gbi.1	chr1	+	159959066	159964557	FCRLB
uc001gbj.1	chr1	+	159959066	159964557	FCRLB
uc001gbk.1	chr1	+	159959066	159964557	FCRLB
uc001gbl.1	chr1	+	159959066	159964557	FCRLB
uc001gbm.1	chr1	+	159959066	159964557	FCRLB
uc001gbn.2	chr1	+	159962325	159964557	FCRLB
uc001gbo.1	chr1	+	159986204	159993576	DUSP12
uc001gbp.1	chr1	+	159986204	159993576	DUSP12
uc001gbq.1	chr1	+	160002707	160102369	ATF6
uc001gbr.1	chr1	+	160002707	160195476	ATF6
uc001gbs.2	chr1	+	160194974	160199584	AK025316
uc001gbt.1	chr1	-	160219605	160221646	OLFML2B
uc001gbu.1	chr1	-	160219605	160260268	OLFML2B
uc001gbv.2	chr1	+	160306204	160606437	NOS1AP
uc001gbw.2	chr1	+	160306204	160606437	NOS1AP
uc009wut.1	chr1	+	160599396	160606437	NOS1AP
uc001gbx.1	chr1	-	160610430	160613268	C1orf111
uc001gby.2	chr1	+	160618143	160623232	C1orf226
uc001gbz.1	chr1	-	160631679	160648552	SH2D1B
uc001gca.1	chr1	-	160631679	160648552	SH2D1B
uc001gcb.1	chr1	+	160733587	160760468	UHMK1
uc001gcc.1	chr1	+	160734278	160760468	UHMK1
uc009wuu.1	chr1	+	160734278	160760468	UHMK1
uc001gcd.2	chr1	+	160761785	160766015	AK026668
uc001gce.2	chr1	+	160797919	160836257	UAP1
uc001gcf.1	chr1	+	160868851	161016871	DDR2
uc001gcg.1	chr1	+	160868851	161016871	DDR2
uc001gch.1	chr1	+	161018524	161022986	AF268386
uc001gci.1	chr1	+	161027119	161049232	HSD17B7
uc009wuv.1	chr1	+	161027119	161049232	HSD17B7
uc009wuw.1	chr1	-	161060871	161092197	AK309620
uc001gck.2	chr1	-	161090710	161105229	C1orf110
uc009wux.1	chr1	-	161090710	161105229	C1orf110
uc001gcl.2	chr1	+	161305019	161313216	RGS4
uc009wuy.1	chr1	+	161305387	161313216	RGS4
uc009wuz.1	chr1	+	161305665	161313216	RGS4
uc009wva.1	chr1	+	161308318	161313216	RGS4
uc001gcn.1	chr1	-	161378720	161439496	RGS5
uc009wvb.1	chr1	-	161378720	161439496	RGS5
uc001gco.2	chr1	-	161540625	161558166	BC032239
uc001gcp.1	chr1	+	161558346	161582654	NUF2
uc001gcq.1	chr1	+	161558346	161592177	NUF2
uc001gcr.1	chr1	+	161558346	161592177	NUF2
uc009wvc.1	chr1	+	161558346	161592177	NUF2
uc001gcu.1	chr1	+	162861896	162918344	AX748175
uc001gcs.1	chr1	+	162795560	163057487	PBX1
uc001gct.1	chr1	+	162795560	163082934	PBX1
uc001gcv.2	chr1	+	163084788	163087682	BC044624
uc001gcw.1	chr1	-	163437728	163449136	LMX1A
uc001gcx.1	chr1	-	163437728	163449136	LMX1A
uc001gcy.1	chr1	-	163437728	163591641	LMX1A
uc001gcz.1	chr1	-	163437728	163592099	LMX1A
uc001gda.1	chr1	-	163636973	163681054	RXRG
uc001gdb.1	chr1	-	163672788	163681054	RXRG
uc001gde.1	chr1	+	163779867	163799822	LRRC52
uc001gdc.1	chr1	-	163712702	163811230	AK093132
uc009wvd.1	chr1	-	163725436	163811230	BC030596
uc001gdd.1	chr1	-	163712702	163818016	BC020945
uc001gdf.1	chr1	+	163867073	163891479	MGST3
uc001gdg.1	chr1	+	163867100	163891479	MGST3
uc001gdh.1	chr1	-	163898072	163934524	ALDH9A1
uc001gdi.2	chr1	+	163934610	163945821	BC012108
uc001gdk.2	chr1	-	163960151	164004723	UNQ151
uc001gdl.2	chr1	-	163960151	164004744	TMCO1
uc001gdm.2	chr1	-	163960151	164004744	TMCO1
uc001gdj.2	chr1	-	163960151	164004759	TMCO1
uc001gdo.2	chr1	+	164004789	164011307	BC071770
uc001gdn.2	chr1	-	163960151	164063616	UNQ151
uc001gdp.1	chr1	+	164063513	164143963	UCK2
uc001gdq.2	chr1	-	164296039	164306219	BC032900
uc001gdr.1	chr1	-	164305879	164402830	FAM78B
uc001gds.1	chr1	+	164839776	164861097	FMO9P
uc001gdt.1	chr1	+	165075347	165090333	POGK
uc001gdv.1	chr1	-	165092420	165099077	TADA1L
uc001gdw.1	chr1	-	165092420	165112103	TADA1L
uc009wve.1	chr1	-	165098576	165112103	TADA1L
uc001gdx.1	chr1	-	165154619	165211185	ILDR2
uc001gdy.1	chr1	+	165225142	165258071	MAEL
uc001gdz.1	chr1	+	165225142	165258071	MAEL
uc009wvf.1	chr1	+	165225785	165258071	DKFZp434L0217
uc001gea.1	chr1	-	165288705	165326492	GPA33
uc001geb.1	chr1	+	165330694	165365026	DUSP27
uc009wvg.1	chr1	+	165635046	165648165	POU2F1
uc001gec.1	chr1	+	165456766	165651950	POU2F1
uc001ged.1	chr1	+	165456766	165651950	POU2F1
uc001gee.1	chr1	+	165456766	165651950	POU2F1
uc001gef.1	chr1	+	165565086	165651950	POU2F1
uc001geg.2	chr1	+	165607777	165651966	POU2F1
uc001gei.2	chr1	-	165666500	165754471	CD247
uc001gej.2	chr1	-	165666500	165754471	CD247
uc001gek.2	chr1	-	165670931	165754471	CD247
uc001gel.1	chr1	-	165776874	165789680	CREG1
uc001gem.1	chr1	+	165865953	165942110	RCSD1
uc001gen.2	chr1	+	165957831	166009755	MPZL1
uc001geo.1	chr1	+	165957831	166026684	MPZL1
uc001gep.1	chr1	+	165957831	166026684	MPZL1
uc009wvh.1	chr1	+	165957831	166026684	PZR
uc001geq.1	chr1	+	165957831	166026684	MPZL1
uc009wvi.1	chr1	+	166000918	166026684	MPZL1
uc009wvj.1	chr1	-	166045505	166069939	ADCY10
uc001ger.1	chr1	-	166045505	166149964	ADCY10
uc009wvk.1	chr1	-	166045505	166149964	ADCY10
uc009wvl.1	chr1	-	166081281	166149964	ADCY10
uc009wvm.1	chr1	-	166115976	166149964	ADCY10
uc009wvn.1	chr1	-	166159728	166171760	BRP44
uc001ges.1	chr1	-	166153933	166171857	BRP44
uc001get.1	chr1	-	166153933	166172902	BRP44
uc001geu.1	chr1	-	166153933	166172927	BRP44
uc001gey.1	chr1	+	166204372	166258909	IQWD1
uc001gev.1	chr1	+	166172531	166311705	IQWD1
uc001gew.1	chr1	+	166172531	166311705	IQWD1
uc001gex.1	chr1	+	166172531	166311705	IQWD1
uc001gez.1	chr1	+	166278591	166311705	IQWD1
uc001gfa.1	chr1	-	166315404	166316553	AX746887
uc001gfe.1	chr1	-	166326307	166340771	GPR161
uc001gfb.1	chr1	-	166320620	166372245	GPR161
uc001gfc.1	chr1	-	166320620	166372248	GPR161
uc009wvo.1	chr1	-	166320620	166373352	GPR161
uc001gfd.1	chr1	-	166320620	166373445	GPR161
uc001gff.1	chr1	+	166414794	166428257	TIPRL
uc001gfg.1	chr1	+	166414794	166437975	TIPRL
uc001gfh.1	chr1	+	166414794	166437975	TIPRL
uc001gfi.2	chr1	+	166461878	166478712	SFT2D2
uc001gfk.1	chr1	+	166485085	166487002	DQ576756
uc001gfj.2	chr1	+	166461878	166550288	TBX19
uc001gfl.1	chr1	+	166516901	166550288	TBX19
uc001gfm.1	chr1	+	166533485	166550288	TBX19
uc001gfn.2	chr1	-	166776626	166779859	XCL2
uc001gfo.1	chr1	+	166812479	166817939	XCL1
uc001gfp.1	chr1	-	166931329	166965052	DPT
uc001gfq.2	chr1	+	167022802	167028744	BC082964
uc001gfr.1	chr1	+	167342570	167368584	ATP1B1
uc001gfs.1	chr1	+	167342570	167368584	ATP1B1
uc001gft.1	chr1	-	167368392	167603810	NME7
uc001gfu.1	chr1	-	167368392	167603810	NME7
uc001gfv.1	chr1	-	167519083	167603810	NME7
uc001gfw.2	chr1	+	167603817	167613243	BLZF1
uc009wvp.1	chr1	+	167612401	167623071	BLZF1
uc001gfx.1	chr1	+	167603817	167624067	BLZF1
uc001gfy.1	chr1	+	167603817	167632404	BLZF1
uc001gfz.1	chr1	-	167630737	167663294	C1orf114
uc001gga.1	chr1	-	167630737	167663294	C1orf114
uc001ggb.2	chr1	-	167654651	167663294	C1orf114
uc001ggc.1	chr1	-	167657224	167663294	C1orf114
uc009wvq.1	chr1	-	167630737	167696531	C1orf114
uc001ggd.2	chr1	-	167678500	167696531	BC041451
uc001gge.2	chr1	-	167699772	167721832	SLC19A2
uc001ggf.2	chr1	-	167699772	167721832	SLC19A2
uc001ggg.1	chr1	-	167747815	167822393	F5
uc001ggh.2	chr1	-	167824713	167855081	SELP
uc001ggi.2	chr1	-	167824711	167866001	SELP
uc009wvr.1	chr1	-	167824711	167866001	SELP
uc001ggk.1	chr1	-	167926431	167947461	SELL
uc001ggl.1	chr1	-	167937288	167947461	SELL
uc001ggm.2	chr1	-	167958404	167969844	SELE
uc009wvs.1	chr1	-	168028341	168029460	C1orf156
uc001ggn.1	chr1	-	168028295	168030655	C1orf156
uc001ggo.2	chr1	+	168030494	168040146	C1orf112
uc009wvu.1	chr1	+	168034621	168088002	C1orf112
uc001ggj.1	chr1	+	167897868	168088853	C1orf112
uc001ggp.1	chr1	+	168030850	168088853	C1orf112
uc001ggq.1	chr1	+	168031173	168088853	C1orf112
uc009wvt.1	chr1	+	168031593	168088853	C1orf112
uc001ggr.1	chr1	+	168034621	168088853	C1orf112
uc001ggs.2	chr1	-	168088427	168129700	SCYL3
uc001ggt.2	chr1	-	168088427	168129700	SCYL3
uc001ggu.2	chr1	-	168088427	168129700	SCYL3
uc001ggv.1	chr1	-	168157093	168310503	KIFAP3
uc001ggw.1	chr1	-	168270136	168310503	KIFAP3
uc009wvv.1	chr1	+	168381811	168403547	METTL11B
uc001ggx.1	chr1	-	168507367	168514697	LOC284688
uc001ggy.1	chr1	-	168696217	168756511	AK096329
uc009wvw.1	chr1	+	168767893	168775332	SCYL1BP1
uc001ggz.2	chr1	+	168767893	168781551	GORAB
uc001gha.1	chr1	+	168767893	168789208	GORAB
uc001ghb.1	chr1	+	168767893	168789208	GORAB
uc009wvx.1	chr1	+	168767893	168789208	SCYL1BP1
uc001ghc.1	chr1	+	168774826	168789208	SCYL1BP1
uc001ghd.1	chr1	+	168780450	168789208	GORAB
uc001ghe.1	chr1	+	168899936	168975165	PRRX1
uc001ghf.1	chr1	+	168899936	168975165	PRRX1
uc001ghg.1	chr1	+	169171259	169234570	C1orf129
uc009wvy.1	chr1	+	169171259	169234570	C1orf129
uc001ghh.1	chr1	+	169326659	169353583	FMO3
uc001ghi.1	chr1	+	169326659	169353583	FMO3
uc001ghj.1	chr1	+	169373502	169397326	FMO6P
uc001ghk.1	chr1	+	169421011	169448446	FMO2
uc009wvz.1	chr1	+	169484256	169521737	FMO1
uc001ghl.1	chr1	+	169484286	169521737	FMO1
uc001ghm.1	chr1	+	169493719	169521737	FMO1
uc001ghn.1	chr1	+	169493844	169521737	FMO1
uc001ghp.1	chr1	+	169574658	169577078	TOP1P1
uc001gho.1	chr1	+	169550109	169577847	FMO4
uc001ghq.1	chr1	+	169721289	169751622	XTP2
uc001ghr.1	chr1	+	169721289	169768724	XTP2
uc001ghs.1	chr1	+	169721289	169829273	BAT2D1
uc009wwa.1	chr1	+	169775733	169829273	KIAA1096
uc001ght.1	chr1	+	169793002	169829273	KIAA1096
uc001ghu.1	chr1	-	169871179	169888396	MYOC
uc001ghv.1	chr1	-	169935920	169945553	VAMP4
uc001ghw.1	chr1	-	169935920	169977837	VAMP4
uc001ghx.1	chr1	-	169938782	169977837	VAMP4
uc001ghy.1	chr1	-	169938782	169977837	VAMP4
uc001gic.1	chr1	+	170030355	170033475	AK094818
uc001ghz.1	chr1	+	170017383	170033479	METTL13
uc001gia.1	chr1	+	170017383	170033479	METTL13
uc001gib.1	chr1	+	170017383	170033479	METTL13
uc001gid.2	chr1	+	170077260	170369153	DNM3
uc001gig.1	chr1	-	170374560	170374670	CS266657
uc009wwc.1	chr1	-	170380297	170380407	CS266640
uc009wwb.1	chr1	+	170077260	170545012	DNM3
uc001gie.1	chr1	+	170077260	170648480	DNM3
uc001gif.1	chr1	+	170077260	170648480	DNM3
uc001gih.1	chr1	+	170614780	170654190	KIAA0820
uc001gim.2	chr1	-	170677491	170678385	PIGC
uc001gil.1	chr1	-	170677219	170679819	PIGC
uc001gii.1	chr1	-	170628896	170679853	PIGC
uc001gij.1	chr1	-	170628896	170679853	PIGC
uc001gin.1	chr1	-	170677219	170679853	PIGC
uc001gio.1	chr1	-	170677219	170679853	PIGC
uc001gik.1	chr1	+	170656452	170704589	C1orf105
uc001giq.2	chr1	+	170768882	170847596	C1orf9
uc009wwd.1	chr1	+	170768939	170847596	C1orf9
uc001gis.1	chr1	+	170894807	170902635	FASLG
uc001git.1	chr1	+	170894807	170902635	FASLG
uc001giu.2	chr1	-	171276982	171286726	TNFSF18
uc001giv.1	chr1	-	171419492	171441320	TNFSF4
uc001giw.1	chr1	-	171419492	171443094	TNFSF4
uc001gix.1	chr1	-	171470821	171712917	AK127238
uc001giy.1	chr1	+	171713108	171724569	PRDX6
uc009wwe.1	chr1	-	171736225	171812522	SLC9A11
uc001giz.1	chr1	-	171736225	171838803	SLC9A11
uc001gja.1	chr1	-	171844097	171905624	ANKRD45
uc001gjb.2	chr1	-	171893406	171905624	ANKRD45
uc001gjd.2	chr1	+	171951328	171970271	KLHL20
uc001gjc.1	chr1	+	171950702	172022463	KLHL20
uc009wwf.1	chr1	+	171950702	172022463	KLHL20
uc009wwg.1	chr1	-	172035310	172059780	CENPL
uc001gje.2	chr1	-	172035310	172059893	CENPL
uc001gjg.2	chr1	-	172035310	172060649	CENPL
uc001gjf.2	chr1	-	172035310	172060649	CENPL
uc001gjh.1	chr1	+	172060580	172094305	DARS2
uc009wwh.1	chr1	+	172076626	172094305	DARS2
uc009wwi.1	chr1	-	172099935	172099978	SNORD81
uc001gjl.2	chr1	-	172100129	172100206	SNORD47
uc009wwj.1	chr1	-	172100593	172100664	SNORD80
uc009wwk.1	chr1	-	172101110	172101191	SNORD79
uc009wwl.1	chr1	-	172101393	172101447	SNORD78
uc001gjn.1	chr1	-	172101728	172101789	SNORD44
uc009wwm.1	chr1	-	172102071	172102132	SNORD77
uc009wwn.1	chr1	-	172102395	172102476	SNORD76
uc009wwo.1	chr1	-	172102639	172102699	SNORD75
uc001gji.1	chr1	-	172099661	172102871	GAS5
uc001gjo.1	chr1	-	172103434	172103506	SNORD74
uc001gjj.1	chr1	-	172099661	172103748	GAS5
uc001gjk.1	chr1	-	172099661	172103748	GAS5
uc001gjq.2	chr1	+	172104115	172109401	ZBTB37
uc001gjp.1	chr1	+	172103842	172122397	ZBTB37
uc009wwp.1	chr1	+	172104115	172122397	ZBTB37
uc001gjr.1	chr1	+	172104685	172122397	ZBTB37
uc001gjs.1	chr1	+	172134307	172134335	DQ593451
uc001gjt.1	chr1	-	172139564	172153096	SERPINC1
uc001gju.2	chr1	-	172166974	172228833	RC3H1
uc001gjv.1	chr1	-	172174459	172228833	RC3H1
uc009wwq.1	chr1	+	172395256	172629906	RABGAP1L
uc001gka.1	chr1	+	172683834	172685306	GPR52
uc001gjy.2	chr1	+	172486235	172781670	RABGAP1L
uc001gjz.2	chr1	+	172510875	172781670	RABGAP1L
uc001gjw.2	chr1	+	172395256	172784321	RABGAP1L
uc001gjx.1	chr1	+	172395256	173193950	RABGAP1L
uc001gkf.1	chr1	+	173110218	173193950	RABGAP1L
uc001gkg.1	chr1	+	173111306	173193950	RABGAP1L
uc001gkb.2	chr1	+	172936294	173226383	IDN4-GGTR7
uc001gkc.2	chr1	+	172936294	173226383	KIAA0471
uc001gkd.2	chr1	+	172936780	173226383	KIAA0471
uc001gke.2	chr1	+	173035716	173226383	KIAA0471
uc001gkh.2	chr1	+	173113152	173226383	KIAA0471
uc001gki.1	chr1	+	173235193	173247786	CACYBP
uc001gkj.1	chr1	+	173235514	173247786	CACYBP
uc001gkk.1	chr1	-	173249750	173259184	MRPS14
uc009wwr.1	chr1	-	173249750	173259184	MRPS14
uc001gkl.1	chr1	+	173303616	173383825	TNN
uc009wws.1	chr1	-	173392779	173396547	KIAA0040
uc009wwt.1	chr1	-	173395744	173428535	KIAA0040
uc001gkn.2	chr1	-	173395744	173428535	KIAA0040
uc001gko.2	chr1	-	173395744	173428716	KIAA0040
uc001gkp.1	chr1	-	173558557	173642554	TNR
uc001gkr.1	chr1	+	173792746	173799628	AK093214
uc001gks.2	chr1	+	173792746	173804007	BC043291
uc009wwu.1	chr1	-	173558557	173979375	TNR
uc001gkx.1	chr1	-	174204155	174204299	SCARNA3
uc009wwv.1	chr1	-	174180589	174384833	RFWD2
uc001gkt.1	chr1	-	174180589	174420451	RFWD2
uc001gku.1	chr1	-	174180589	174442993	RFWD2
uc001gkv.1	chr1	-	174180589	174442993	RFWD2
uc001gkw.1	chr1	-	174180589	174442993	RFWD2
uc001gky.1	chr1	+	174698929	174926964	PAPPA2
uc001gkz.1	chr1	+	174698929	175078593	PAPPA2
uc009www.1	chr1	+	174698929	175078593	PAPPE
uc001gla.1	chr1	+	175079002	175081354	CR621436
uc001gle.2	chr1	-	175211812	175268608	KIAA0289
uc001glb.1	chr1	-	175093063	175400647	ASTN1
uc001glc.1	chr1	-	175096825	175400647	ASTN1
uc001gld.1	chr1	-	175104576	175400647	ASTN1
